Cnt      PC           IR           RegW  RDin         MemW  MDin
01bf     0000008c     22100004     0     00000000     0     00000000
01c0     00000090     2011001c     0     00000000     0     00000000
01c1     00000090     2011001c     0     00000000     0     00000000
01c2     00000090     2011001c     1     0000001c     0     00000000
01c3     00000090     2011001c     0     00000000     0     00000000
01c4     00000094     1611fff5     0     00000000     0     00000000
01c5     00000094     1611fff5     0     00000000     0     00000000
01c6     00000068     1611fff5     0     00000000     0     00000000
01c7     0000006c     8e130200     0     00000000     0     00000000
01c8     0000006c     8e130200     0     00000000     0     00000000
01c9     0000006c     8e130200     0     00000000     0     00000000
01ca     0000006c     8e130200     1     00000001     0     00000000
01cb     0000006c     8e130200     0     00000000     0     00000000
01cc     00000070     8e340200     0     00000000     0     00000000
01cd     00000070     8e340200     0     00000000     0     00000000
01ce     00000070     8e340200     0     00000000     0     00000000
01cf     00000070     8e340200     1     ffffffff     0     00000000
01d0     00000070     8e340200     0     00000000     0     00000000
01d1     00000074     0274402a     0     00000000     0     00000000
01d2     00000074     0274402a     0     00000000     0     00000000
01d3     00000074     0274402a     1     00000000     0     00000000
01d4     00000074     0274402a     0     00000000     0     00000000
01d5     00000078     11000002     0     00000000     0     00000000
01d6     00000078     11000002     0     00000000     0     00000000
01d7     00000080     11000002     0     00000000     0     00000000
01d8     00000084     2231fffc     0     00000000     0     00000000
01d9     00000084     2231fffc     0     00000000     0     00000000
01da     00000084     2231fffc     1     00000018     0     00000000
01db     00000084     2231fffc     0     00000000     0     00000000
01dc     00000088     1611fff8     0     00000000     0     00000000
01dd     00000088     1611fff8     0     00000000     0     00000000
01de     00000068     1611fff8     0     00000000     0     00000000
01df     0000006c     8e130200     0     00000000     0     00000000
01e0     0000006c     8e130200     0     00000000     0     00000000
01e1     0000006c     8e130200     0     00000000     0     00000000
01e2     0000006c     8e130200     1     00000001     0     00000000
01e3     0000006c     8e130200     0     00000000     0     00000000
01e4     00000070     8e340200     0     00000000     0     00000000
01e5     00000070     8e340200     0     00000000     0     00000000
01e6     00000070     8e340200     0     00000000     0     00000000
01e7     00000070     8e340200     1     00000000     0     00000000
01e8     00000070     8e340200     0     00000000     0     00000000
01e9     00000074     0274402a     0     00000000     0     00000000
01ea     00000074     0274402a     0     00000000     0     00000000
01eb     00000074     0274402a     1     00000000     0     00000000
01ec     00000074     0274402a     0     00000000     0     00000000
01ed     00000078     11000002     0     00000000     0     00000000
01ee     00000078     11000002     0     00000000     0     00000000
01ef     00000080     11000002     0     00000000     0     00000000
01f0     00000084     2231fffc     0     00000000     0     00000000
01f1     00000084     2231fffc     0     00000000     0     00000000
01f2     00000084     2231fffc     1     00000014     0     00000000
01f3     00000084     2231fffc     0     00000000     0     00000000
01f4     00000088     1611fff8     0     00000000     0     00000000
01f5     00000088     1611fff8     0     00000000     0     00000000
01f6     00000068     1611fff8     0     00000000     0     00000000
01f7     0000006c     8e130200     0     00000000     0     00000000
01f8     0000006c     8e130200     0     00000000     0     00000000
01f9     0000006c     8e130200     0     00000000     0     00000000
01fa     0000006c     8e130200     1     00000001     0     00000000
01fb     0000006c     8e130200     0     00000000     0     00000000
01fc     00000070     8e340200     0     00000000     0     00000000
01fd     00000070     8e340200     0     00000000     0     00000000
01fe     00000070     8e340200     0     00000000     0     00000000
01ff     00000070     8e340200     1     00000004     0     00000000
0200     00000070     8e340200     0     00000000     0     00000000
0201     00000074     0274402a     0     00000000     0     00000000
0202     00000074     0274402a     0     00000000     0     00000000
0203     00000074     0274402a     1     00000001     0     00000000
0204     00000074     0274402a     0     00000000     0     00000000
0205     00000078     11000002     0     00000000     0     00000000
0206     00000078     11000002     0     00000000     0     00000000
0207     00000078     11000002     0     00000000     0     00000000
0208     0000007c     ae330200     0     00000000     0     00000000
0209     0000007c     ae330200     0     00000000     0     00000000
020a     0000007c     ae330200     0     00000000     1     00000001
020b     0000007c     ae330200     0     00000000     0     00000000
020c     00000080     ae140200     0     00000000     0     00000000
020d     00000080     ae140200     0     00000000     0     00000000
020e     00000080     ae140200     0     00000000     1     00000004
020f     00000080     ae140200     0     00000000     0     00000000
0210     00000084     2231fffc     0     00000000     0     00000000
0211     00000084     2231fffc     0     00000000     0     00000000
0212     00000084     2231fffc     1     00000010     0     00000000
0213     00000084     2231fffc     0     00000000     0     00000000
0214     00000088     1611fff8     0     00000000     0     00000000
0215     00000088     1611fff8     0     00000000     0     00000000
0216     00000068     1611fff8     0     00000000     0     00000000
0217     0000006c     8e130200     0     00000000     0     00000000
0218     0000006c     8e130200     0     00000000     0     00000000
0219     0000006c     8e130200     0     00000000     0     00000000
021a     0000006c     8e130200     1     00000004     0     00000000
021b     0000006c     8e130200     0     00000000     0     00000000
021c     00000070     8e340200     0     00000000     0     00000000
021d     00000070     8e340200     0     00000000     0     00000000
021e     00000070     8e340200     0     00000000     0     00000000
021f     00000070     8e340200     1     00000003     0     00000000
0220     00000070     8e340200     0     00000000     0     00000000
0221     00000074     0274402a     0     00000000     0     00000000
0222     00000074     0274402a     0     00000000     0     00000000
0223     00000074     0274402a     1     00000000     0     00000000
0224     00000074     0274402a     0     00000000     0     00000000
0225     00000078     11000002     0     00000000     0     00000000
0226     00000078     11000002     0     00000000     0     00000000
0227     00000080     11000002     0     00000000     0     00000000
0228     00000084     2231fffc     0     00000000     0     00000000
0229     00000084     2231fffc     0     00000000     0     00000000
022a     00000084     2231fffc     1     0000000c     0     00000000
022b     00000084     2231fffc     0     00000000     0     00000000
022c     00000088     1611fff8     0     00000000     0     00000000
022d     00000088     1611fff8     0     00000000     0     00000000
022e     00000068     1611fff8     0     00000000     0     00000000
022f     0000006c     8e130200     0     00000000     0     00000000
0230     0000006c     8e130200     0     00000000     0     00000000
0231     0000006c     8e130200     0     00000000     0     00000000
